size;fail;sends;retries;rate1;rate2
20;0.10;42.59;22.59;0.53041;2.12950
20;0.20;46.99;26.99;0.57438;2.34950
20;0.25;48.88;28.88;0.59083;2.44400
20;0.33;54.62;34.62;0.63383;2.73100
20;0.50;79.52;59.52;0.74849;3.97600
50;0.10;105.97;55.97;0.52817;2.11940
50;0.20;114.17;64.17;0.56206;2.28340
50;0.25;122.08;72.08;0.59043;2.44160
50;0.33;137.32;87.32;0.63589;2.74640
50;0.50;195.37;145.37;0.74408;3.90740
100;0.10;210.04;110.04;0.52390;2.10040
100;0.20;229.6;129.6;0.56446;2.29600
100;0.25;246.22;146.22;0.59386;2.46220
100;0.33;277.16;177.16;0.63920;2.77160
100;0.50;400.18;300.18;0.75011;4.00180
200;0.10;422.79;222.79;0.52695;2.11395
200;0.20;463.91;263.91;0.56888;2.31955
200;0.25;489.16;289.16;0.59114;2.44580
200;0.33;546.275;346.275;0.63388;2.73138
200;0.50;799.98;599.98;0.74999;3.99990
500;0.10;1064.54;564.54;0.53031;2.12908
500;0.20;1153.14;653.14;0.56640;2.30628
500;0.25;1221.63;721.63;0.59071;2.44326
500;0.33;1374.988;874.988;0.63636;2.74998
500;0.50;1997.46;1497.46;0.74968;3.99492
