N;K;blocks;time;rate
2;2;6.75666666666667;0.636;1.68916666666667
2;3;10.37;0.487;1.72833333333333
2;4;14.6033333333333;0.537;1.82541666666666
2;5;19.4266666666667;0.764;1.94266666666667
2;6;23.3266666666667;0.979;1.94388888888889
2;7;28.09;1.25;2.00642857142857
2;8;32.47;1.609;2.029375
2;9;38.2066666666667;2.013;2.12259259259259
2;10;42.0333333333333;2.372;2.10166666666667
2;11;45.8866666666667;2.944;2.08575757575758
2;12;51.1966666666667;3.61;2.13319444444445
2;13;57.59;4.383;2.215
2;14;63.04;5.463;2.25142857142857
2;15;67.23;6.128;2.241
2;16;73.1333333333333;7.498;2.28541666666667
2;17;78.2566666666667;8.372;2.30166666666667
2;18;84;9.985;2.33333333333333
2;19;88.7266666666667;11.124;2.33491228070176
2;20;92.86;12.802;2.3215
2;21;100.993333333333;14.787;2.40460317460317
2;22;105.006666666667;16.338;2.38651515151516
2;23;110.246666666667;18.94;2.39666666666667
2;24;118.013333333333;22.35;2.4586111111111
2;25;124.41;23.616;2.4882
2;26;127.1;26.28;2.44423076923077
2;27;136.263333333333;29.594;2.52339506172839
2;28;139.746666666667;31.934;2.4954761904762
2;29;143.873333333333;36.178;2.48057471264367
2;30;149.313333333333;38.653;2.48855555555555
2;31;155.16;42.214;2.50258064516129
2;32;163.59;48.693;2.55609375
3;2;10.3666666666667;0.35;1.72777777777778
3;3;16.7966666666667;0.602;1.8662962962963
3;4;23.29;0.983;1.94083333333333
3;5;29.69;1.397;1.97933333333333
3;6;37.9;2.017;2.10555555555556
3;7;43.5266666666667;2.823;2.07269841269841
3;8;53.08;4.027;2.21166666666667
3;9;58.7966666666667;5.216;2.17765432098766
3;10;67.13;6.625;2.23766666666667
3;11;75.0933333333333;8.567;2.27555555555555
3;12;82.2833333333333;10.088;2.28564814814815
3;13;93.1266666666667;12.89;2.38786324786325
3;14;96.9233333333333;15.475;2.30769841269841
3;15;107.333333333333;18.622;2.38518518518518
3;16;117.273333333333;23.243;2.44319444444444
3;17;123.65;26.473;2.42450980392157
3;18;134.303333333333;31.421;2.48709876543209
3;19;139.693333333333;35.292;2.45076023391812
3;20;149.656666666667;41.625;2.49427777777778
3;21;156.146666666667;45.245;2.47851851851852
3;22;168.816666666667;56.018;2.55782828282829
3;23;177.806666666667;60.836;2.57690821256039
3;24;185.156666666667;66.538;2.57162037037037
3;25;192.82;76.069;2.57093333333333
3;26;201.416666666667;84.474;2.58226495726496
3;27;210.976666666667;92.847;2.60465020576132
3;28;219.226666666667;106.755;2.60984126984127
3;29;229.88;117.189;2.64229885057471
3;30;239.86;130.37;2.66511111111111
3;31;245.556666666667;139.646;2.64039426523298
3;32;264.463333333333;162.092;2.75482638888889
4;2;14.39;0.491;1.79875
4;3;22.9233333333333;1.007;1.91027777777778
4;4;32.3033333333333;1.682;2.01895833333333
4;5;43.31;2.771;2.1655
4;6;52.6866666666667;4.169;2.19527777777778
4;7;62.1266666666667;5.779;2.21880952380952
4;8;71.5866666666667;8.405;2.23708333333333
4;9;84.4433333333333;11.068;2.34564814814815
4;10;91.7166666666667;13.976;2.29291666666667
4;11;104.986666666667;18.978;2.38606060606061
4;12;117.65;24.225;2.45104166666667
4;13;127.713333333333;30.341;2.45602564102563
4;14;137.636666666667;35.401;2.45779761904762
4;15;149.78;44.228;2.49633333333333
4;16;159.41;51.881;2.49078125
4;17;173.073333333333;60.92;2.54519607843137
4;18;185.24;72.977;2.57277777777778
4;19;196.926666666667;83.095;2.5911403508772
4;20;208.38;100.632;2.60475
4;21;219.9;109.515;2.61785714285714
4;22;231.166666666667;124.606;2.62689393939394
4;23;244.233333333333;147.273;2.65471014492753
4;24;261.026666666667;164.141;2.71902777777778
4;25;270.223333333333;181.154;2.70223333333333
4;26;276.43;213.693;2.65798076923077
4;27;285.293333333333;224.014;2.6416049382716
4;28;309.883333333333;258.143;2.76681547619047
4;29;317.966666666667;281.584;2.74109195402299
4;30;335.836666666667;319.113;2.79863888888889
4;31;340.963333333333;338.722;2.74970430107527
4;32;357.623333333333;384.251;2.79393229166666
5;2;19.05;0.734;1.905
5;3;29.62;1.42;1.97466666666667
5;4;43.06;2.859;2.153
5;5;55.48;4.6;2.2192
5;6;67.1733333333333;7.369;2.23911111111111
5;7;80.3733333333333;11.155;2.29638095238095
5;8;94.54;15.018;2.3635
5;9;107.866666666667;22.607;2.39703703703704
5;10;123.853333333333;28.175;2.47706666666666
5;11;134.65;36.289;2.44818181818182
5;12;149.666666666667;45.425;2.49444444444445
5;13;164.18;56.4;2.52584615384615
5;14;175.76;67.669;2.51085714285714
5;15;190.183333333333;82.3;2.53577777777777
5;16;208.623333333333;98.267;2.60779166666666
5;17;226.663333333333;122.294;2.66662745098039
5;18;239.916666666667;143.444;2.66574074074074
5;19;251;160.283;2.64210526315789
5;20;269.42;191.808;2.6942
5;21;284.216666666667;217.818;2.7068253968254
5;22;301.716666666667;251.64;2.74287878787879
5;23;315.91;291.134;2.74704347826087
5;24;334.236666666667;337.117;2.78530555555556
5;25;354.68;375.22;2.83744
5;26;369.12;412.36;2.83938461538462
5;27;372.856666666667;447.135;2.7619012345679
5;28;391.833333333333;500.07;2.79880952380952
5;29;413.583333333333;599.078;2.85229885057471
5;30;433.023333333333;631.702;2.88682222222222
5;31;443.683333333333;711.517;2.86247311827957
5;32;462.553333333333;778.46;2.89095833333333
6;2;23.44;1.051;1.95333333333333
6;3;37.6;2.355;2.08888888888889
6;4;52.0566666666667;4.296;2.16902777777778
6;5;67.7766666666667;7.65;2.25922222222222
6;6;82.4033333333333;12.091;2.28898148148148
6;7;97.3133333333333;18.156;2.31698412698413
6;8;115.786666666667;27.775;2.41222222222223
6;9;133.453333333333;36.273;2.47135802469135
6;10;151.266666666667;48.891;2.52111111111112
6;11;168.126666666667;63.158;2.54737373737374
6;12;182.356666666667;75.954;2.53273148148149
6;13;203.236666666667;100.261;2.60559829059829
6;14;213.536666666667;116.278;2.54210317460318
6;15;245.053333333333;154.532;2.72281481481481
6;16;257.713333333333;179.017;2.68451388888889
6;17;277.496666666667;213.645;2.72055555555556
6;18;292.583333333333;245.266;2.7091049382716
6;19;311.063333333333;293.875;2.72862573099415
6;20;332.963333333333;347.651;2.77469444444444
6;21;350.65;384.251;2.78293650793651
6;22;366.793333333333;440.361;2.77873737373737
6;23;388.736666666667;519.493;2.81693236714976
6;24;408.08;622.886;2.83388888888889
6;25;430.943333333333;662.158;2.87295555555555
6;26;453.273333333333;755.339;2.90559829059829
6;27;461.73;859.242;2.85018518518518
6;28;486.073333333333;924.563;2.89329365079365
6;29;507.01;1037.996;2.91385057471264
6;30;521.686666666667;1128.894;2.89825925925926
6;31;544.143333333333;1255.335;2.92550179211469
6;32;561.323333333333;1357.974;2.92355902777778
7;2;28;1.419;2
7;3;44.25;3.275;2.10714285714286
7;4;62.39;6.37;2.22821428571429
7;5;80.3966666666667;12.096;2.29704761904762
7;6;102.093333333333;19.79;2.43079365079364
7;7;116.633333333333;27.984;2.38027210884353
7;8;140.06;40.985;2.50107142857143
7;9;155.87;55.509;2.47412698412698
7;10;179.906666666667;77.53;2.57009523809524
7;11;199.266666666667;101.255;2.58787878787879
7;12;221.206666666667;128.937;2.6334126984127
7;13;244.67;159.316;2.68868131868132
7;14;263.553333333333;195.833;2.68931972789115
7;15;287.186666666667;246.14;2.73511111111111
7;16;307.353333333333;281.925;2.74422619047619
7;17;331.163333333333;344.641;2.78288515406162
7;18;357.113333333333;405.216;2.8342328042328
7;19;373.786666666667;479.858;2.81042606516291
7;20;400.66;570.508;2.86185714285714
7;21;421.583333333333;634.082;2.86791383219954
7;22;441.583333333333;719.741;2.86742424242424
7;23;460.183333333333;834.513;2.85828157349896
7;24;489.7;992.681;2.91488095238095
7;25;508.343333333333;1061.967;2.90481904761905
7;26;538.803333333333;1219.948;2.96045787545787
7;27;546.706666666667;1311.563;2.8926278659612
7;28;572.183333333333;1456.351;2.91930272108843
7;29;605.34;1669.786;2.98197044334975
7;30;620.86;2830.42;2.95647619047619
7;31;635.096666666667;4460.808;2.92671274961598
7;32;675.683333333333;5708.135;3.01644345238095
8;2;33.0033333333333;5.558;2.06270833333333
8;3;51.81;12.381;2.15875
8;4;73.6733333333333;26.752;2.30229166666667
